instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_INDEX|Nifty 50,17,,Nifty 50,21995.85,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Bank,28,,Nifty Bank,47069.45,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Next 50,20,,Nifty Next 50,61989.2,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Energy,11,,Nifty Energy,39359.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 50,,,NIFTY SMLCAP 50,7596.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty200Momentm30,,,Nifty200Momentm30,30882.85,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 500,7,,Nifty 500,20324.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Infra,36,,Nifty Infra,8324.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 250,,,NIFTY SMLCAP 250,15180.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 100,,,NIFTY MIDCAP 100,48995.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Pharma,47,,Nifty Pharma,18525.75,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDCAP 150,,,NIFTY MIDCAP 150,18195.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty IT,26,,Nifty IT,33498.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 100,27,,Nifty 100,22740.2,,,,,INDEX,,NSE_INDEX
NSE_EQ|INE239A01024,17963,NESTLEIND,NESTLE INDIA LIMITED,2460.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE870H01013,14111,NETWORK18,NETWORK18 MEDIA & INV LTD,80.5,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE092A01019,3405,TATACHEM,TATA CHEMICALS LTD,1087.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE151A01013,3721,TATACOMM,TATA COMMUNICATIONS LTD,1820.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE192A01025,3432,TATACONSUM,TATA CONSUMER PRODUCT LTD,1093.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE670A01012,3411,TATAELXSI,TATA ELXSI LIMITED,7238.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE155A01022,3456,TATAMOTORS,TATA MOTORS LIMITED,951.3,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN9155A01020,16965,TATAMTRDVR,TATA MOTORS DVR  A  ORD,642.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE245A01021,3426,TATAPOWER,TATA POWER CO LTD,441.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE081A01020,3499,TATASTEEL,TATA STEEL LIMITED,174.35,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE142M01025,20293,TATATECH,TATA TECHNOLOGIES LIMITED,1051.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE467B01029,11536,TCS,TATA CONSULTANCY SERV LT,3820.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE669C01036,13538,TECHM,TECH MAHINDRA LIMITED,1323.9,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE758T01015,5097,ZOMATO,ZOMATO LIMITED,189.1,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE238A01034,5900,AXISBANK,AXIS BANK LIMITED,1137.65,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE917I01010,16669,BAJAJ-AUTO,BAJAJ AUTO LIMITED,8820.7,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE090A01021,4963,ICICIBANK,ICICI BANK LTD.,1120.95,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE008A01015,1476,IDBI,IDBI BANK LIMITED,88.2,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE669E01016,14366,IDEA,VODAFONE IDEA LIMITED,13.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE043D01016,11957,IDFC,IDFC LIMITED,114.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE092T01019,11184,IDFCFIRSTB,IDFC FIRST BANK LIMITED,77.45,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE009A01021,1594,INFY,INFOSYS LIMITED,1434.15,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE154A01025,1660,ITC,ITC LTD,434.8,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE335Y01020,13611,IRCTC,INDIAN RAIL TOUR CORP LTD,1115.55,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE797F01020,18096,JUBLFOOD,JUBILANT FOODWORKS LTD,479.35,,,0.05,1,EQUITY,,NSE_EQ
